"Date","Open","High","Low","Close","Volume"
"2024-09-12",228.5500030517578,229.,216.7100067138672,222.77000427246094,379925474
"2024-08-30",224.3699951171875,232.9199981689453,196.,229.,1122666993
"2024-07-31",212.08999633789062,237.22999572753906,211.9199981689453,222.0800018310547,1153193377
"2024-06-28",192.89999389648438,220.1999969482422,192.14999389648438,210.6199951171875,1670219971
"2024-05-31",169.5800018310547,193.,169.11000061035156,192.25,1336570142
"2024-04-30",171.19000244140625,178.36000061035156,164.0749969482422,170.3300018310547,1246221542
"2024-03-28",179.5500030517578,180.52999877929688,168.4949951171875,171.47999572753906,1073832173
"2024-02-29",183.98500061035156,191.0500030517578,179.25,180.75,1161711745
"2024-01-31",187.14999389648438,196.3800048828125,180.1699981689453,184.39999389648438,1160219323
"2023-12-29",190.3300018310547,199.6199951171875,187.4600067138672,192.52999877929688,1033285674
"2023-11-30",171.,192.92999267578125,170.1300048828125,189.9499969482422,1040578051
"2023-10-31",171.22000122070312,182.33999633789062,165.6699981689453,170.77000427246094,501619737
"2023-09-29",189.48500061035156,189.97999572753906,167.6199951171875,171.2100067138672,1337873796
"2023-08-31",196.23500061035156,196.72999572753906,171.9600067138672,187.8699951171875,1323817340
"2023-07-31",193.77999877929688,198.22999572753906,186.60000610351562,196.4499969482422,996368613
"2023-06-30",177.6999969482422,194.47999572753906,176.93099975585938,193.97000122070312,1297863403
"2023-05-31",169.27999877929688,179.35000610351562,164.30999755859375,177.25,1275364523
"2023-04-28",164.27000427246094,169.85000610351562,159.77999877929688,169.67999267578125,969776368
"2023-03-31",146.8300018310547,165.,143.89999389648438,164.89999389648438,1520461315
"2023-02-28",143.97000122070312,157.3800048828125,141.32000732421875,147.41000366210938,1307294493
"2023-01-31",130.27999877929688,147.22999572753906,124.16999816894531,144.2899932861328,1443652725
"2022-12-30",148.2100067138672,150.9199981689453,125.87000274658203,129.92999267578125,1675731304
"2022-11-30",155.0800018310547,155.4499969482422,134.3800048828125,148.02999877929688,1724948219
"2022-10-31",138.2100067138672,157.5,134.3699951171875,153.33999633789062,1868381344
"2022-09-30",156.63999938964844,164.25999450683594,138.,138.1999969482422,2084775201
"2022-08-31",161.00999450683594,176.14999389648438,157.13999938964844,157.22000122070312,1510324936
"2022-07-29",136.0399932861328,163.6300048828125,135.66000366210938,162.50999450683594,1447364668
"2022-06-30",149.89999389648438,151.74000549316406,129.0399932861328,136.72000122070312,1749297959
"2022-05-31",156.7100067138672,166.47999572753906,132.61000061035156,148.83999633789062,2401040455
"2022-04-29",174.02999877929688,178.49000549316406,155.3800048828125,157.64999389648438,1687873175
"2022-03-31",164.69500732421875,179.61000061035156,150.10000610351562,174.61000061035156,2180882413
"2022-02-28",174.00999450683594,176.64999389648438,152.,165.1199951171875,1629275348
"2022-01-31",177.8300018310547,182.94000244140625,154.6999969482422,174.77999877929688,2109283280
"2021-12-31",167.47999572753906,182.1300048828125,157.8000030517578,177.57000732421875,2445627956
"2021-11-30",148.98500061035156,165.6999969482422,147.47999572753906,165.3000030517578,1691028845
"2021-10-29",141.89999389648438,153.1649932861328,138.27000427246094,149.8000030517578,1565079040
"2021-09-30",152.8300018310547,157.25999450683594,141.27000427246094,141.5,1797948421
"2021-08-31",146.36000061035156,153.49000549316406,144.5,151.8300018310547,1463302097
"2021-07-30",136.60000610351562,150.,135.75999450683594,145.86000061035156,1919127917
"2021-06-30",125.08000183105469,137.41000366210938,123.12999725341797,136.9600067138672,1606590029
"2021-05-28",132.0399932861328,134.07000732421875,122.25,124.61000061035156,1711935110
"2021-04-30",123.66000366210938,137.07000732421875,122.48999786376953,131.4600067138672,1889956694
"2021-03-31",123.75,128.72000122070312,116.20999908447266,122.1500015258789,2650845211
"2021-02-26",133.75,137.8769989013672,118.38999938964844,121.26000213623047,1834022593
"2021-01-29",133.52000427246094,145.08999633789062,126.38200378417969,131.9600067138672,2240876988
"2020-12-31",121.01000213623047,138.78900146484375,120.01000213623047,132.69000244140625,2323295253
"2020-11-30",109.11000061035156,121.98999786376953,107.31999969482422,119.05000305175781,2123372382
"2020-10-30",117.63999938964844,125.38999938964844,107.72000122070312,108.86000061035156,2895317580
"2020-09-30",132.75999450683594,137.97999572753906,103.0999984741211,115.80999755859375,3886793083
"2020-08-31",108.19999694824219,131.,107.89299774169922,129.0399932861328,4070343744
"2020-07-31",91.27999877929688,106.41500091552734,89.1449966430664,106.26000213623047,3020454756
"2020-06-30",79.4375,93.09500122070312,79.30249786376953,91.19999694824219,3243603560
"2020-05-29",71.5625,81.05999755859375,71.4625015258789,79.48500061035156,2806640088
"2020-04-30",61.625,73.63249969482422,59.224998474121094,73.44999694824219,3266123232
"2020-03-31",70.56999969482422,76.,53.15250015258789,63.5724983215332,6281326928
"2020-02-28",76.07499694824219,81.80500030517578,64.09249877929688,68.33999633789062,3020892924
"2020-01-31",74.05999755859375,81.9625015258789,73.1875,77.37750244140625,2940051432
"2019-12-31",66.81749725341797,73.49250030517578,64.07250213623047,73.4124984741211,2395485460
